vg [V],det power [dBm],amp current [A],amp power [W],v diff [V]
1.5,-7.257325999999999,0.01,0.06,0.610069967329415
1.481,-7.154854,0.01,0.06,0.6075215830795271
1.462,-6.991395999999998,0.01,0.06,0.610069967329415
1.443,-6.756740000000001,0.01,0.06,0.610069967329415
1.424,-6.563549999999999,0.01,0.06,0.610069967329415
1.405,-6.2926699999999975,0.01,0.06,0.6075215830795271
1.3860000000000001,-5.978494000000001,0.02,0.12,0.610069967329415
1.367,-5.537138000000002,0.02,0.12,0.610069967329415
1.348,-5.187335999999998,0.02,0.12,0.6075215830795271
1.329,-4.681484000000001,0.02,0.12,0.6075215830795271
1.31,-4.083202,0.02,0.12,0.610069967329415
1.291,-3.125820000000001,0.03,0.18,0.6075215830795271
1.272,-2.325026000000001,0.03,0.18,0.610069967329415
1.2530000000000001,-1.1106200000000008,0.04,0.24,0.6075215830795271
1.234,0.3888299999999987,0.05,0.3,0.6075215830795271
1.215,2.521536000000001,0.07,0.42,0.6075215830795271
1.196,4.086043999999998,0.09,0.54,0.6075215830795271
1.177,6.084314000000001,0.11,0.66,0.6049731988296392
1.158,8.123962,0.15,0.9,0.6049731988296392
1.139,10.343729,0.18,1.08,0.6024248145797513
1.12,11.7586456,0.22,1.32,0.6024248145797513
1.101,13.298909,0.26,1.56,0.5998764303298634
1.082,14.474796,0.3,1.8,0.5973280460799755
1.063,16.0914998,0.34,2.04,0.5922312775801997
1.044,17.0066694,0.39,2.34,0.5922312775801997
1.025,17.9062046,0.44,2.64,0.5896828933303118
1.006,18.8080572,0.49,2.94,0.584586124830536
0.987,19.76833338,0.54,3.24,0.582037740580648
0.968,20.34400038,0.59,3.54,0.5769409720808722
0.9490000000000001,21.0172868,0.64,3.84,0.5743925878309843
0.93,21.6389926,0.69,4.14,0.5692958193312085
0.911,22.315603199999998,0.75,4.5,0.5667474350813206
0.892,22.7177314,0.81,4.86,0.5616506665815448
0.873,23.1816582,0.86,5.16,0.5565538980817681
0.854,23.6040264,0.92,5.52,0.5540055138318802
0.835,24.0424026,0.98,5.88,0.5514571295819923
0.8160000000000001,24.294617,1.04,6.24,0.5463603610822165
0.797,24.5854008,1.11,6.66,0.5438119768323286
0.778,24.8506396,1.17,7.02,0.5412635925824407
0.759,25.1436512,1.24,7.44,0.5387152083325528
0.74,25.317605399999998,1.31,7.86,0.533618439832777
0.721,25.5248582,1.38,8.28,0.5310700555828891
0.7020000000000001,25.718569,1.45,8.7,0.5285216713330012
0.683,25.9262768,1.52,9.12,0.5259732870831133
0.664,26.0418056,1.6,9.6,0.5234249028332254
0.645,26.178474,1.68,10.08,0.5183281343334496
0.626,26.3012158,1.76,10.56,0.5183281343334496
0.607,26.4241374,1.84,11.04,0.5132313658336738
0.5880000000000001,26.491911599999998,1.92,11.52,0.5132313658336738
0.5690000000000001,26.5714646,2.0,12.0,0.508134597333898
0.55,26.625983599999998,2.09,12.54,0.508134597333898
