synthd power [dBm],det power [dBm],amp current [A],amp power [W],v diff [V]
-20.0,3.6497540000000015,0.66,3.96,0.5922312775801997
-19.56,5.673870000000003,0.66,3.96,0.5922312775801997
-19.12,7.9655439999999995,0.67,4.02,0.5922312775801997
-18.68,10.3426294,0.68,4.08,0.5922312775801997
-18.24,12.679026,0.69,4.14,0.5896828933303118
-17.8,14.4757438,0.71,4.26,0.5896828933303118
-17.36,15.9068662,0.73,4.38,0.5871345090804239
-16.92,17.513906,0.75,4.5,0.582037740580648
-16.48,19.12058808,0.79,4.74,0.5769409720808722
-16.04,20.18035588,0.83,4.98,0.5743925878309843
-15.6,20.97523204,0.86,5.16,0.5718442035810964
-15.16,21.7148752,0.9,5.4,0.5667474350813206
-14.719999999999999,22.3616242,0.93,5.58,0.5616506665815448
-14.280000000000001,22.9058676,0.96,5.76,0.5591022823316569
-13.84,23.3861154,0.99,5.94,0.5540055138318802
-13.4,23.7873194,1.02,6.12,0.5514571295819923
-12.96,24.0954582,1.04,6.24,0.5489087453321044
-12.52,24.3215728,1.06,6.36,0.5463603610822165
-12.08,24.4681912,1.08,6.48,0.5438119768323286
-11.64,24.561646,1.09,6.54,0.5438119768323286
-11.2,24.6153822,1.09,6.54,0.5463603610822165
-10.76,24.6450444,1.09,6.54,0.5438119768323286
-10.32,24.6637598,1.1,6.6,0.5438119768323286
-9.88,24.67371,1.1,6.6,0.5412635925824407
-9.44,24.6781882,1.1,6.6,0.5412635925824407
-9.0,24.6764576,1.1,6.6,0.5412635925824407
-8.56,24.669608,1.1,6.6,0.5412635925824407
-8.12,24.659237599999997,1.1,6.6,0.5412635925824407
-7.68,24.6451054,1.1,6.6,0.5438119768323286
-7.24,24.6309814,1.09,6.54,0.5412635925824407
-6.800000000000001,24.618345599999998,1.09,6.54,0.5438119768323286
-6.359999999999999,24.6065808,1.09,6.54,0.5412635925824407
-5.92,24.5958502,1.09,6.54,0.5412635925824407
-5.48,24.587531,1.09,6.54,0.5438119768323286
-5.039999999999999,24.5805516,1.09,6.54,0.5438119768323286
-4.6,24.577294000000002,1.09,6.54,0.5438119768323286
-4.16,24.5749532,1.09,6.54,0.5412635925824407
-3.719999999999999,24.5730532,1.09,6.54,0.5438119768323286
-3.280000000000001,24.5722802,1.09,6.54,0.5438119768323286
-2.84,24.571988400000002,1.09,6.54,0.5438119768323286
-2.3999999999999986,24.5709808,1.09,6.54,0.5438119768323286
-1.9600000000000009,24.570827,1.09,6.54,0.5412635925824407
-1.5199999999999996,24.5718698,1.09,6.54,0.5412635925824407
-1.0799999999999983,24.5734068,1.09,6.54,0.5438119768323286
-0.6400000000000006,24.5731442,1.09,6.54,0.5412635925824407
-0.1999999999999993,24.5728488,1.09,6.54,0.5438119768323286
0.23999999999999844,24.5692988,1.09,6.54,0.5438119768323286
0.6799999999999997,24.5656132,1.09,6.54,0.5438119768323286
1.120000000000001,24.559984200000002,1.09,6.54,0.5438119768323286
1.5599999999999987,24.549683,1.09,6.54,0.5438119768323286
2.0,24.5353958,1.09,6.54,0.5438119768323286
