A1 [V],det power [dBm],amp current [A],amp power [W]
3.0,-10.31902,3.97,0.06
3.18,-10.31902,3.97,0.09
3.36,-10.319018,3.97,0.09
3.54,-10.319006000000002,3.97,0.1
3.7199999999999998,-10.318988,3.97,0.1
3.9,-10.318968000000002,3.97,0.11
4.08,-10.318947999999999,3.97,0.11
4.26,-10.318922,3.97,0.12
4.4399999999999995,-7.6210134,3.91,1.27
4.62,-1.6873445999999994,3.91,1.81
4.8,7.7348292,3.91,1.86
4.98,8.036028199999999,3.91,1.88
5.16,8.4220196,3.91,1.89
5.34,8.705816200000001,3.91,1.91
5.52,8.9640794,3.91,1.93
5.699999999999999,9.1510502,3.91,1.95
5.88,9.4096936,3.91,1.97
6.0600000000000005,9.6004274,3.91,2.0
6.24,9.770413600000001,3.91,2.03
6.42,9.888929000000001,3.91,2.06
6.6,10.0411372,3.91,2.09
6.779999999999999,10.116077999999998,3.91,2.11
6.96,10.13139,3.91,2.11
7.14,10.129164,3.91,2.1
7.32,10.12491,3.91,2.1
7.5,10.119164000000001,3.91,2.1
7.68,10.115084,3.91,2.1
7.859999999999999,10.110666,3.91,2.1
8.04,10.106700000000002,3.91,2.1
8.219999999999999,10.102212,3.91,2.1
8.399999999999999,10.09835,3.91,2.1
8.58,10.09452,3.91,2.1
8.76,10.090466000000001,3.91,2.09
8.94,10.086077999999999,3.91,2.09
9.120000000000001,10.081868,3.91,2.09
9.3,10.07463,3.91,2.09
9.48,10.069038,3.91,2.09
9.66,10.063572,3.91,2.09
9.84,10.058156,3.91,2.09
10.02,10.053454,3.91,2.09
10.2,10.048626,3.91,2.09
10.379999999999999,10.043980000000001,3.91,2.09
10.559999999999999,10.039895999999999,3.91,2.09
10.739999999999998,10.035042,3.91,2.09
10.92,10.030739999999998,3.91,2.09
11.1,10.026320000000002,3.91,2.09
11.28,10.022435999999999,3.91,2.09
11.459999999999999,10.019998000000001,3.91,2.08
11.64,10.017847999999999,3.91,2.08
11.82,10.014146,3.91,2.08
12.0,10.011192,3.91,2.08
