time [s],det power [dBm],amp current [A],amp power [W]
2.5349056720733643,10.0281158,3.91,0.65
13.091703176498413,10.0882,3.91,0.65
23.669466018676758,10.070532,3.91,0.65
34.256004333496094,10.043534,3.91,0.65
44.80729937553406,10.024388,3.91,0.65
55.364407539367676,10.0023744,3.91,0.65
65.91421914100647,9.988881000000001,3.91,0.65
76.50549459457397,9.9743136,3.91,0.65
87.09069752693176,9.9617544,3.91,0.65
97.65677261352539,9.952353200000001,3.91,0.65
108.210524559021,9.942063000000001,3.91,0.65
118.77608489990234,9.93836,3.91,0.65
129.32472848892212,9.9297574,3.91,0.65
139.9159803390503,9.9173344,3.91,0.65
150.48526763916016,9.9105646,3.91,0.65
161.04689407348633,9.908109,3.91,0.65
171.62107801437378,9.906392199999999,3.91,0.65
182.16735124588013,9.905538400000001,3.91,0.65
192.73300790786743,9.905175,3.91,0.65
203.2969856262207,9.903134399999999,3.91,0.65
213.85533046722412,9.901237799999999,3.91,0.65
224.42377376556396,9.8993312,3.91,0.65
235.00584030151367,9.898321,3.91,0.65
245.5787217617035,9.8986448,3.91,0.65
256.14868569374084,9.8980244,3.91,0.65
266.7158408164978,9.8970044,3.91,0.65
277.2498469352722,9.8963574,3.91,0.65
287.81238746643066,9.8949514,3.91,0.65
298.3782591819763,9.8944632,3.91,0.65
308.958208322525,9.893114,3.91,0.65
319.5039508342743,9.892448199999999,3.91,0.65
330.08376908302307,9.892374,3.91,0.65
340.65074610710144,9.8923078,3.91,0.65
351.20805954933167,9.8927642,3.91,0.65
361.75080585479736,9.892475999999998,3.91,0.65
372.3171875476837,9.891572,3.91,0.65
