synthHD Pro power [W],det power [dBm],amp current [A],amp power [W]
-25.0,-40.43443,9.13,0.76
-24.6,-40.330586,9.01,0.75
-24.2,-40.20388,9.01,0.75
-23.8,-40.005318,9.01,0.75
-23.4,-39.730618,9.01,0.75
-23.0,-39.38895599999999,9.01,0.75
-22.6,-38.992584,9.01,0.75
-22.2,-38.495406,9.01,0.75
-21.8,-37.88807799999999,9.01,0.75
-21.4,-37.158528000000004,9.01,0.75
-21.0,-36.311794,9.01,0.75
-20.6,-35.335758,9.01,0.75
-20.2,-34.14,9.01,0.75
-19.8,-32.81933600000001,9.01,0.75
-19.4,-31.380702000000003,9.02,0.75
-19.0,-29.854324000000002,9.02,0.75
-18.6,-28.261174,9.02,0.75
-18.2,-26.667656,9.02,0.75
-17.8,-25.109576,9.02,0.75
-17.4,-23.581298,9.02,0.75
-17.0,-22.054962,9.02,0.75
-16.6,-20.513942,9.02,0.75
-16.2,-19.018328,9.02,0.75
-15.799999999999999,-17.57441,9.02,0.75
-15.399999999999999,-16.259558000000002,9.02,0.75
-15.0,-15.100384,9.02,0.75
-14.6,-14.113094,9.02,0.75
-14.2,-13.270154,9.02,0.75
-13.799999999999999,-12.494437999999999,9.02,0.75
-13.399999999999999,-11.707334,9.14,0.76
-13.0,-10.805926,9.14,0.76
-12.6,-9.7035126,9.14,0.76
-12.2,-8.2703378,9.26,0.77
-11.799999999999999,-6.4546682,9.38,0.78
-11.399999999999999,-4.205401,9.74,0.81
-11.0,-1.5756574,10.34,0.86
-10.6,1.5238076,12.14,1.01
-10.2,5.3627,32.93,2.74
-9.799999999999999,7.462410800000001,20.35,3.2
-9.399999999999999,8.4643338,21.25,3.2
-9.0,8.9084052,22.53,3.2
-8.599999999999998,9.6185834,35.22,2.93
-8.2,9.9581626,31.97,2.66
-7.800000000000001,10.081185999999999,29.9,2.49
-7.399999999999999,10.128858,28.82,2.4
-7.0,10.149930000000001,28.22,2.35
-6.599999999999998,10.158286,27.74,2.31
-6.199999999999999,10.162558,27.38,2.28
-5.799999999999997,10.165722,27.26,2.27
-5.399999999999999,10.168470000000001,27.02,2.25
-5.0,10.172177999999999,26.9,2.24
